uni_lemma,language
shoulder,Cantonese
living room,Cantonese
drawer,Cantonese
faucet,Cantonese
ball,Catalan
cookie,Catalan
shoe,Catalan
bottle,Catalan
head,Catalan
hand,Catalan
nose,Catalan
cat,Catalan
dog,Catalan
fish (animal),Catalan
car,Catalan
motorcycle,Catalan
doll,Catalan
yogurt,Catalan
potato,Catalan
mouth,Catalan
foot,Catalan
eye,Catalan
pacifier,Catalan
snail,Catalan
horse,Catalan
cow,Catalan
airplane,Catalan
bicycle,Catalan
train,Catalan
book,Catalan
balloon,Catalan
fish (food),Catalan
apple,Catalan
butt,Catalan
finger,Catalan
ear,Catalan
keys,Catalan
flower,Catalan
moon,Catalan
ground,Catalan
elephant,Catalan
hen,Catalan
lion,Catalan
truck,Catalan
shovel,Catalan
milk,Catalan
banana,Catalan
soup,Catalan
juice,Catalan
chocolate,Catalan
sock,Catalan
hair,Catalan
leg,Catalan
tooth,Catalan
spoon,Catalan
glass,Catalan
paper,Catalan
chair,Catalan
bed,Catalan
light,Catalan
duck,Catalan
bunny,Catalan
bird,Catalan
pig,Catalan
turtle,Catalan
boat,Catalan
rice,Catalan
meat,Catalan
cheese,Catalan
pear,Catalan
ham,Catalan
diaper,Catalan
pants,Catalan
pajamas,Catalan
bib,Catalan
arm,Catalan
fork,Catalan
plate,Catalan
phone,Catalan
door,Catalan
table,Catalan
tree,Catalan
star,Catalan
slide (object),Catalan
worm,Catalan
monkey,Catalan
fly (animal),Catalan
bear,Catalan
sheep,Catalan
butterfly,Catalan
bus,Catalan
pencil,Catalan
macaroni,Catalan
olive,Catalan
egg,Catalan
orange,Catalan
cap,Catalan
sweater,Catalan
glasses,Catalan
tongue,Catalan
belly button,Catalan
pillow,Catalan
paint (object),Catalan
watch (object),Catalan
soap,Catalan
bathtub,Catalan
kitchen,Catalan
ladder,Catalan
sofa,Catalan
tv,Catalan
sky,Catalan
fire,Catalan
leaf,Catalan
stone,Catalan
rain,Catalan
sand,Catalan
ant,Catalan
giraffe,Catalan
frog,Catalan
mouse,Catalan
tiger,Catalan
tractor,Catalan
box,Catalan
toy (object),Catalan
drum,Catalan
snack,Catalan
candy,Catalan
fruit,Catalan
ice cream,Catalan
tomato,Catalan
button,Catalan
underpants,Catalan
glove,Catalan
neck,Catalan
broom,Catalan
sponge,Catalan
knife,Catalan
potty,Catalan
patio,Catalan
toilet,Catalan
cloud,Catalan
bee,Catalan
insect,Catalan
donkey,Catalan
dolphin,Catalan
ladybug,Catalan
snake,Catalan
guitar,Catalan
cake,Catalan
croquette,Catalan
spaghetti,Catalan
strawberry,Catalan
orange (food),Catalan
chicken (food),Catalan
sausage,Catalan
sugar,Catalan
lollipop,Catalan
hat,Catalan
boots,Catalan
scarf,Catalan
umbrella,Catalan
slipper,Catalan
blanket,Catalan
mirror,Catalan
scissors,Catalan
towel,Catalan
drawer,Catalan
shower,Catalan
window,Catalan
room,Catalan
sink,Catalan
refrigerator,Catalan
snow,Catalan
wind,Catalan
animal,Catalan
spider,Catalan
penguin,Catalan
bucket,Catalan
trumpet,Catalan
coffee,Catalan
cereal,Catalan
croissant,Catalan
noodles,Catalan
melon,Catalan
carrot,Catalan
puree,Catalan
grapes,Catalan
salt,Catalan
coat,Catalan
swimsuit,Catalan
clothing,Catalan
shirt,Catalan
back,Catalan
battery,Catalan
brush (object),Catalan
wardrobe,Catalan
elevator,Catalan
dining room,Catalan
washing machine,Catalan
river,Catalan
doorbell,Catalan
ambulance,Catalan
crane,Catalan
helicopter,Catalan
puzzle,Catalan
sandwich,Catalan
hamburger,Catalan
lemon,Catalan
knee,Catalan
lip,Catalan
penis,Catalan
garbage,Catalan
cup,Catalan
shampoo,Catalan
bathroom,Catalan
high chair,Catalan
grass,Catalan
garden,Catalan
plant,Catalan
bridge,Catalan
watering can,Catalan
camel,Catalan
hippopotamus,Catalan
bull,Catalan
zebra,Catalan
skate (object),Catalan
card,Catalan
lettuce,Catalan
pasta,Catalan
peas,Catalan
watermelon,Catalan
belt,Catalan
skirt,Catalan
beard,Catalan
faucet,Catalan
basket,Catalan
sheet,Catalan
radio,Catalan
balcony,Catalan
bank,Catalan
swing (object),Catalan
dinosaur,Catalan
cart,Catalan
marker,Catalan
onion,Catalan
beans,Catalan
dessert,Catalan
toast,Catalan
tracksuit,Catalan
elbow,Catalan
cheek,Catalan
vagina,Catalan
hammer,Catalan
medicine,Catalan
pot,Catalan
pan,Catalan
garage,Catalan
stool,Catalan
hose,Catalan
sidewalk,Catalan
fireplace,Catalan
tea,Japanese
banana,Japanese
bread,Japanese
shoe,Japanese
hand,Japanese
eye,Japanese
dog,Japanese
car,Japanese
bus,Japanese
ball,Japanese
milk,Japanese
leg,Japanese
elephant,Japanese
butterfly,Japanese
cat,Japanese
train,Japanese
strawberry,Japanese
juice,Japanese
apple,Japanese
sock,Japanese
hat,Japanese
head,Japanese
breast,Japanese
nose,Japanese
ear,Japanese
rain,Japanese
leaf,Japanese
fish (animal),Japanese
panda,Japanese
rice,Japanese
tomato,Japanese
carrot,Japanese
grapes,Japanese
diaper,Japanese
buttocks,Japanese
tummy,Japanese
mouth,Japanese
chair,Japanese
ant,Japanese
rabbit,Japanese
frog,Japanese
crab,Japanese
giraffe,Japanese
bear,Japanese
airplane,Japanese
ice cream,Japanese
noodles,Japanese
fish (food),Japanese
orange (food),Japanese
water (beverage),Japanese
bath,Japanese
umbrella,Japanese
cup,Japanese
spoon,Japanese
flower,Japanese
turtle,Japanese
monkey,Japanese
bird,Japanese
pig,Japanese
penguin,Japanese
lion,Japanese
firetruck,Japanese
book,Japanese
balloon,Japanese
sweets,Japanese
cake,Japanese
watermelon,Japanese
jelly,Japanese
egg,Japanese
cheese,Japanese
peach,Japanese
yogurt,Japanese
pants,Japanese
belly button,Japanese
face,Japanese
tooth,Japanese
tv,Japanese
toilet,Japanese
fork,Japanese
stone,Japanese
horse,Japanese
bug,Japanese
bicycle,Japanese
truck,Japanese
police car,Japanese
ship,Japanese
toy (object),Japanese
sweet potato,Japanese
pumpkin,Japanese
cucumber,Japanese
soup,Japanese
meat,Japanese
hamburger,Japanese
shorts,Japanese
penis,Japanese
hair,Japanese
cheek,Japanese
dish,Japanese
tissue,Japanese
toothbrush,Japanese
glasses,Japanese
moon,Japanese
slide (object),Japanese
star,Japanese
cow,Japanese
shrimp,Japanese
mouse,Japanese
snake,Japanese
bubbles,Japanese
tofu,Japanese
donut,Japanese
nail (finger),Japanese
stairs,Japanese
key,Japanese
medicine,Japanese
towel,Japanese
telephone,Japanese
chopstick,Japanese
swing (object),Japanese
hippopotamus,Japanese
crow,Japanese
koala,Japanese
gorilla,Japanese
bee,Japanese
pigeon,Japanese
crocodile,Japanese
motorcycle,Japanese
crayon,Japanese
blocks,Japanese
pen,Japanese
cookie,Japanese
ice,Japanese
corn,Japanese
cracker,Japanese
radish,Japanese
pudding,Japanese
beans,Japanese
melon,Japanese
pajamas,Japanese
finger,Japanese
shower,Japanese
door,Japanese
bag,Japanese
clock,Japanese
scissors,Japanese
tree,Japanese
pool,Japanese
duck,Japanese
fox,Japanese
tiger,Japanese
sheep,Japanese
chick,Japanese
squirrel,Japanese
helicopter,Japanese
drum,Japanese
puzzle,Japanese
spaghetti,Japanese
chocolate,Japanese
eggplant,Japanese
ham,Japanese
pancake,Japanese
vegetable,Japanese
boots,Japanese
button,Japanese
back,Japanese
table,Japanese
light,Japanese
refrigerator,Japanese
money,Japanese
paper,Japanese
trash can,Japanese
straw,Japanese
pillow,Japanese
sun,Japanese
wind,Japanese
cloud,Japanese
sandbox,Japanese
sky,Japanese
snow,Japanese
whale,Japanese
zebra,Japanese
pencil,Japanese
doll,Japanese
candy,Japanese
coffee,Japanese
sandwich,Japanese
pear,Japanese
slipper,Japanese
forehead,Japanese
shoulder,Japanese
neck,Japanese
tail,Japanese
curtain,Japanese
window,Japanese
camera,Japanese
vacuum cleaner,Japanese
animal,Japanese
chicken,Japanese
clay,Japanese
shirt,Japanese
gloves,Japanese
piano,Japanese
room,Japanese
picture,Japanese
tape,Japanese
grass,Japanese
wolf,Japanese
glue (object),Japanese
present,Japanese
jam,Japanese
spinach,Japanese
chips,Japanese
apron,Japanese
clothes,Japanese
ribbon,Japanese
tongue,Japanese
fan,Japanese
bed,Japanese
shampoo,Japanese
soap,Japanese
battery,Japanese
bucket,Japanese
box,Japanese
knife,Japanese
river,Japanese
road,Japanese
snowman,Japanese
skirt,Japanese
chin,Japanese
eyebrow,Japanese
wallet,Japanese
pan,Japanese
blanket,Japanese
shovel,Japanese
game,Japanese
persimmon,Japanese
hair dryer,Japanese
basket,Japanese
handkerchief,Japanese
tricycle,Japanese
soy sauce,Japanese
butter,Japanese
kitchen,Japanese
parking lot,Japanese
comb (object),Japanese
bowl,Japanese
microphone,Japanese
garden,Japanese
roof,Japanese
zipper,Japanese
branch,Japanese
car,Turkish
milk,Turkish
cat,Turkish
bird,Turkish
tea,Turkish
shoe,Turkish
hand,Turkish
dog,Turkish
balloon,Turkish
bread,Turkish
foot,Turkish
nose,Turkish
eye,Turkish
hair,Turkish
horse,Turkish
pen/pencil,Turkish
apple,Turkish
banana,Turkish
diaper,Turkish
mouth,Turkish
tooth,Turkish
glasses,Turkish
door,Turkish
flower,Turkish
fish (animal),Turkish
toy (object),Turkish
fish (food),Turkish
chocolate,Turkish
soup,Turkish
meat,Turkish
cake,Turkish
candy,Turkish
sock,Turkish
hat,Turkish
hair clip,Turkish
head,Turkish
tongue,Turkish
ear,Turkish
butt,Turkish
spoon,Turkish
telephone,Turkish
bear,Turkish
bug,Turkish
cow,Turkish
airplane,Turkish
book,Turkish
soda,Turkish
pasta,Turkish
rice,Turkish
gum,Turkish
yogurt,Turkish
egg,Turkish
slipper,Turkish
leg,Turkish
tummy,Turkish
arm,Turkish
finger,Turkish
purse,Turkish
fork,Turkish
trash,Turkish
clock,Turkish
plate,Turkish
bathroom,Turkish
table,Turkish
tv,Turkish
pillow,Turkish
tree,Turkish
donkey,Turkish
chicken (animal),Turkish
lamb,Turkish
bicycle,Turkish
crayon,Turkish
yogurt drink,Turkish
cracker,Turkish
tomato,Turkish
ice cream,Turkish
watermelon,Turkish
potato,Turkish
cheese,Turkish
food,Turkish
olive,Turkish
cheek,Turkish
key,Turkish
mirror,Turkish
knife,Turkish
bottle,Turkish
remote control,Turkish
lamp,Turkish
comb (object),Turkish
bed,Turkish
moon,Turkish
swing (object),Turkish
rock (object),Turkish
rain,Turkish
bee,Turkish
monkey,Turkish
fly (animal),Turkish
bunny,Turkish
notebook,Turkish
whistle (object),Turkish
pear,Turkish
honey,Turkish
chips,Turkish
strawberry,Turkish
meatball,Turkish
pretzel,Turkish
grapes,Turkish
dress (object),Turkish
pants,Turkish
fingernail,Turkish
face,Turkish
pacifier,Turkish
medicine,Turkish
paper,Turkish
napkin,Turkish
picture,Turkish
soap,Turkish
iron (object),Turkish
cupboard,Turkish
radiator,Turkish
armchair,Turkish
kitchen,Turkish
window,Turkish
potty,Turkish
sun,Turkish
sheep,Turkish
truck,Turkish
bus,Turkish
train,Turkish
pastry,Turkish
fruit,Turkish
corn,Turkish
orange (food),Turkish
cucumber,Turkish
salt,Turkish
pocket,Turkish
underpants,Turkish
skirt,Turkish
chin,Turkish
towel,Turkish
tissue,Turkish
curtain,Turkish
vacuum,Turkish
porch,Turkish
stairs,Turkish
room,Turkish
chair,Turkish
bell,Turkish
fire,Turkish
garden,Turkish
snow,Turkish
sand,Turkish
road,Turkish
lion,Turkish
mouse,Turkish
elephant,Turkish
animal,Turkish
rooster,Turkish
ant,Turkish
duck,Turkish
drum (object),Turkish
bucket,Turkish
cherry,Turkish
lemon,Turkish
sweater,Turkish
earring,Turkish
pajamas,Turkish
throat,Turkish
neck,Turkish
knee,Turkish
blanket,Turkish
computer,Turkish
refrigerator,Turkish
flag,Turkish
wall,Turkish
street,Turkish
soil,Turkish
leaf,Turkish
boat,Turkish
shovel,Turkish
story,Turkish
kite,Turkish
nut,Turkish
coffee,Turkish
tangerine,Turkish
pomegranate,Turkish
jam,Turkish
onion,Turkish
sausage,Turkish
toast,Turkish
glove,Turkish
jacket,Turkish
shorts,Turkish
mustache,Turkish
eyelash,Turkish
teapot,Turkish
umbrella,Turkish
oven,Turkish
stove,Turkish
living room,Turkish
coffee table,Turkish
cloud,Turkish
mud,Turkish
grass,Turkish
wheel,Turkish
dust,Turkish
goat,Turkish
frog,Turkish
blocks,Turkish
beans,Turkish
apricot,Turkish
cookie,Turkish
bracelet,Turkish
belt,Turkish
bib,Turkish
headband,Turkish
t-shirt,Turkish
cotton,Turkish
smoke,Turkish
photo,Turkish
slide (object),Turkish
wood,Turkish
camel,Turkish
spider,Turkish
motorcycle,Turkish
puzzle,Turkish
robot,Turkish
ketchup,Turkish
chickpea,Turkish
salami,Turkish
boots,Turkish
bandaid,Turkish
radio,Turkish
yard,Turkish
mountain,Turkish
accident,Turkish
bridge,Turkish
crow,Turkish
wolf,Turkish
stork,Turkish
parrot,Turkish
helicopter,Turkish
spinach,Turkish
pizza,Turkish
heart,Turkish
body,Turkish
shower,Turkish
stick,Turkish
deer,Turkish
tiger,Turkish
squirrel,Turkish
crocodile,Turkish
giraffe,Turkish
ambulance,Turkish
firetruck,Turkish
kayak,Turkish
tractor,Turkish
puppet,Turkish
gun,Turkish
tracksuit,Turkish
tights,Turkish
hammer,Turkish
earth,Turkish
lake,Turkish
owl,Turkish
pig,Turkish
eagle,Turkish
pudding,Turkish
coat,Turkish
traffic,Turkish
zebra,Turkish
tarhana,Turkish
blouse,Turkish
carpet,Turkish
garage,Turkish
dog,Spanish (Mexican)
car,Spanish (Mexican)
soup,Spanish (Mexican)
balloon,Spanish (Mexican)
ball,Spanish (Mexican)
cat,Spanish (Mexican)
cookie,Spanish (Mexican)
potato,Spanish (Mexican)
mouth,Spanish (Mexican)
hand,Spanish (Mexican)
diaper,Spanish (Mexican)
eye,Spanish (Mexican)
horse,Spanish (Mexican)
egg,Spanish (Mexican)
juice,Spanish (Mexican)
chicken (food),Spanish (Mexican)
head,Spanish (Mexican)
nose,Spanish (Mexican)
hair,Spanish (Mexican)
foot,Spanish (Mexican)
bottle,Spanish (Mexican)
light (object),Spanish (Mexican)
bed,Spanish (Mexican)
chair,Spanish (Mexican)
duck,Spanish (Mexican)
airplane,Spanish (Mexican)
meat,Spanish (Mexican)
food,Spanish (Mexican)
candy,Spanish (Mexican)
lollipop,Spanish (Mexican)
banana,Spanish (Mexican)
soda,Spanish (Mexican)
sock,Spanish (Mexican)
finger,Spanish (Mexican)
tooth,Spanish (Mexican)
tummy,Spanish (Mexican)
trash,Spanish (Mexican)
soap,Spanish (Mexican)
plate,Spanish (Mexican)
bathroom,Spanish (Mexican)
table,Spanish (Mexican)
cow,Spanish (Mexican)
bird,Spanish (Mexican)
bear,Spanish (Mexican)
train,Spanish (Mexican)
chili,Spanish (Mexican)
chocolate,Spanish (Mexican)
apple,Spanish (Mexican)
taco,Spanish (Mexican)
tortilla,Spanish (Mexican)
underpants,Spanish (Mexican)
face,Spanish (Mexican)
tongue,Spanish (Mexican)
ear,Spanish (Mexican)
paper,Spanish (Mexican)
pen/pencil,Spanish (Mexican)
teddybear,Spanish (Mexican)
brush (object),Spanish (Mexican)
spoon,Spanish (Mexican)
money,Spanish (Mexican)
key,Spanish (Mexican)
telephone,Spanish (Mexican)
glass,Spanish (Mexican)
moon,Spanish (Mexican)
sun,Spanish (Mexican)
door,Spanish (Mexican)
tv,Spanish (Mexican)
chick,Spanish (Mexican)
spider,Spanish (Mexican)
motorcycle,Spanish (Mexican)
rice,Spanish (Mexican)
gum,Spanish (Mexican)
beans,Spanish (Mexican)
jelly,Spanish (Mexican)
ham,Spanish (Mexican)
orange (food),Spanish (Mexican)
cake,Spanish (Mexican)
cheese,Spanish (Mexican)
salt,Spanish (Mexican)
grapes,Spanish (Mexican)
pants,Spanish (Mexican)
breast,Spanish (Mexican)
toy (object),Spanish (Mexican)
doll,Spanish (Mexican)
purse,Spanish (Mexican)
bag,Spanish (Mexican)
photo,Spanish (Mexican)
comb (object),Spanish (Mexican)
tree,Spanish (Mexican)
flower,Spanish (Mexican)
stick,Spanish (Mexican)
fly (animal),Spanish (Mexican)
hen,Spanish (Mexican)
elephant,Spanish (Mexican)
bunny,Spanish (Mexican)
bicycle,Spanish (Mexican)
sugar,Spanish (Mexican)
hat,Spanish (Mexican)
clothes,Spanish (Mexican)
sweater,Spanish (Mexican)
arm,Spanish (Mexican)
pillow,Spanish (Mexican)
box,Spanish (Mexican)
toothbrush,Spanish (Mexican)
broom,Spanish (Mexican)
medicine,Spanish (Mexican)
cup,Spanish (Mexican)
shampoo,Spanish (Mexican)
kitchen,Spanish (Mexican)
crib,Spanish (Mexican)
window,Spanish (Mexican)
mouse,Spanish (Mexican)
lion,Spanish (Mexican)
ant,Spanish (Mexican)
donkey,Spanish (Mexican)
animal,Spanish (Mexican)
coffee,Spanish (Mexican)
ice cream,Spanish (Mexican)
chips,Spanish (Mexican)
hot dog,Spanish (Mexican)
yogurt,Spanish (Mexican)
button,Spanish (Mexican)
shirt,Spanish (Mexican)
glasses,Spanish (Mexican)
butt,Spanish (Mexican)
belly button,Spanish (Mexican)
leg,Spanish (Mexican)
colors,Spanish (Mexican)
book,Spanish (Mexican)
pacifier,Spanish (Mexican)
blanket,Spanish (Mexican)
knife,Spanish (Mexican)
watch (object),Spanish (Mexican)
towel,Spanish (Mexican)
sky,Spanish (Mexican)
rain,Spanish (Mexican)
rock (object),Spanish (Mexican)
soil,Spanish (Mexican)
room,Spanish (Mexican)
bathtub,Spanish (Mexican)
fish (animal),Spanish (Mexican)
monkey,Spanish (Mexican)
corn,Spanish (Mexican)
melon,Spanish (Mexican)
slipper,Spanish (Mexican)
dress (object),Spanish (Mexican)
cheek,Spanish (Mexican)
knee,Spanish (Mexican)
boots,Spanish (Mexican)
bib,Spanish (Mexican)
tray,Spanish (Mexican)
mirror,Spanish (Mexican)
toothpaste,Spanish (Mexican)
radio,Spanish (Mexican)
napkin,Spanish (Mexican)
scissors,Spanish (Mexican)
swing (object),Spanish (Mexican)
star,Spanish (Mexican)
grass,Spanish (Mexican)
stairs,Spanish (Mexican)
frog,Spanish (Mexican)
butterfly,Spanish (Mexican)
truck,Spanish (Mexican)
boat,Spanish (Mexican)
tuna,Spanish (Mexican)
strawberry,Spanish (Mexican)
ice,Spanish (Mexican)
popcorn,Spanish (Mexican)
fish (food),Spanish (Mexican)
pajamas,Spanish (Mexican)
shorts,Spanish (Mexican)
lip,Spanish (Mexican)
painting,Spanish (Mexican)
pen,Spanish (Mexican)
tricycle,Spanish (Mexican)
earring,Spanish (Mexican)
iron (object),Spanish (Mexican)
fork,Spanish (Mexican)
cloth,Spanish (Mexican)
leaf,Spanish (Mexican)
cloud,Spanish (Mexican)
plant,Spanish (Mexican)
wind,Spanish (Mexican)
drawer,Spanish (Mexican)
stove,Spanish (Mexican)
patio,Spanish (Mexican)
refrigerator,Spanish (Mexican)
living room,Spanish (Mexican)
couch,Spanish (Mexican)
turtle,Spanish (Mexican)
pig,Spanish (Mexican)
wolf,Spanish (Mexican)
peanut,Spanish (Mexican)
quesadilla,Spanish (Mexican)
watermelon,Spanish (Mexican)
tea,Spanish (Mexican)
carrot,Spanish (Mexican)
skirt,Spanish (Mexican)
glove,Spanish (Mexican)
t-shirt,Spanish (Mexican)
camera,Spanish (Mexican)
tape (object),Spanish (Mexican)
matches,Spanish (Mexican)
pot,Spanish (Mexican)
candle,Spanish (Mexican)
flag,Spanish (Mexican)
slide (object),Spanish (Mexican)
potty,Spanish (Mexican)
bench,Spanish (Mexican)
washing machine,Spanish (Mexican)
shower,Spanish (Mexican)
snake,Spanish (Mexican)
mosquito,Spanish (Mexican)
giraffe,Spanish (Mexican)
seal (animal),Spanish (Mexican)
lamb,Spanish (Mexican)
atole,Spanish (Mexican)
pumpkin,Spanish (Mexican)
cereal,Spanish (Mexican)
raisin,Spanish (Mexican)
sauce,Spanish (Mexican)
sandwich,Spanish (Mexican)
tights,Spanish (Mexican)
mustache,Spanish (Mexican)
throat,Spanish (Mexican)
shoulder,Spanish (Mexican)
penis,Spanish (Mexican)
crayon,Spanish (Mexican)
clay,Spanish (Mexican)
lamp,Spanish (Mexican)
flower pot,Spanish (Mexican)
hose,Spanish (Mexican)
roof,Spanish (Mexican)
closet,Spanish (Mexican)
ball,Russian
banana,Russian
porridge,Russian
juice,Russian
soup,Russian
tea,Russian
apple,Russian
eye,Russian
nose,Russian
cat,Russian
stroller,Russian
balloon,Russian
bun,Russian
slipper,Russian
hat,Russian
leg,Russian
belly button,Russian
butterfly,Russian
car,Russian
book,Russian
shovel,Russian
water (beverage),Russian
candy,Russian
milk,Russian
cheese,Russian
bread,Russian
tights,Russian
arm,Russian
ear,Russian
spoon,Russian
soap,Russian
wolf,Russian
mouse,Russian
fish (animal),Russian
elephant,Russian
dog,Russian
toy (object),Russian
pen/pencil,Russian
blocks,Russian
pear,Russian
potato,Russian
sausage,Russian
meat,Russian
cookie,Russian
fish (food),Russian
egg,Russian
coat,Russian
sock,Russian
underpants,Russian
hair,Russian
head,Russian
tummy,Russian
tooth,Russian
finger,Russian
mouth,Russian
fork,Russian
potty,Russian
key,Russian
pillow,Russian
light (object),Russian
watch (object),Russian
door,Russian
chair,Russian
mud,Russian
puddle,Russian
stick,Russian
snow,Russian
flower,Russian
squirrel,Russian
hedgehog,Russian
beetle,Russian
chicken (animal),Russian
fox,Russian
frog,Russian
bear,Russian
fly (animal),Russian
monkey,Russian
bird,Russian
tiger,Russian
bus,Russian
bicycle,Russian
airplane,Russian
sled,Russian
bucket,Russian
orange (food),Russian
onion,Russian
pasta,Russian
butter,Russian
cucumber,Russian
boots,Russian
shirt,Russian
forehead,Russian
money,Russian
lamp,Russian
blanket,Russian
pacifier,Russian
purse,Russian
telephone,Russian
cup,Russian
bed,Russian
floor,Russian
tree,Russian
rain,Russian
fir,Russian
sun,Russian
crow,Russian
goose,Russian
cow,Russian
crocodile,Russian
lion,Russian
horse,Russian
turtle,Russian
tractor,Russian
pancake,Russian
cutlet,Russian
carrot,Russian
mitten,Russian
sweater,Russian
scarf,Russian
pants,Russian
lip,Russian
tongue,Russian
jar,Russian
trash,Russian
knife,Russian
plate,Russian
tv,Russian
bathtub,Russian
couch,Russian
table,Russian
bathroom,Russian
wind,Russian
rock (object),Russian
sand,Russian
grass,Russian
pigeon,Russian
snake,Russian
owl,Russian
duck,Russian
boat,Russian
train,Russian
paint (object),Russian
story,Russian
watermelon,Russian
mushroom,Russian
yogurt,Russian
cabbage,Russian
compote,Russian
chicken (food),Russian
tomato,Russian
sugar,Russian
cake,Russian
chocolate,Russian
berry,Russian
button,Russian
back (body part),Russian
cheek,Russian
paper,Russian
bottle,Russian
handkerchief,Russian
towel,Russian
comb (object),Russian
rag,Russian
iron (object),Russian
teapot,Russian
road,Russian
moon,Russian
sky,Russian
hippopotamus,Russian
giraffe,Russian
bunny,Russian
goat,Russian
mosquito,Russian
sheep,Russian
donkey,Russian
rooster,Russian
pig,Russian
chick,Russian
song,Russian
grapes,Russian
yogurt drink,Russian
ice cream,Russian
sour cream,Russian
salt,Russian
pajamas,Russian
dress (object),Russian
face,Russian
nail (body part),Russian
neck,Russian
picture,Russian
pot,Russian
box,Russian
scissors,Russian
vacuum,Russian
mirror,Russian
room,Russian
kitchen,Russian
stairs,Russian
elevator,Russian
closet,Russian
sparrow,Russian
piglet,Russian
locomotive,Russian
rake (object),Russian
brush (object),Russian
spade,Russian
top,Russian
coffee,Russian
tangerine,Russian
rice,Russian
cottage cheese,Russian
glove,Russian
eyebrow,Russian
wallet,Russian
hammer,Russian
glass,Russian
pill,Russian
refrigerator,Russian
shampoo,Russian
carpet,Russian
corridor,Russian
window,Russian
bench,Russian
cloud,Russian
helicopter,Russian
album,Russian
play dough,Russian
pie,Russian
shoe,Russian
shorts,Russian
broom,Russian
medicine,Russian
dish,Russian
washing machine,Russian
armchair,Russian
ice,Russian
frost,Russian
snowman,Russian
truck,Russian
glue (object),Russian
marker,Russian
mold,Russian
jam,Russian
vitamin,Russian
peas,Russian
food,Russian
raspberry,Russian
honey,Russian
plum,Russian
chips,Russian
lollipop,Russian
beads,Russian
snowsuit,Russian
knee,Russian
eyelash,Russian
nail (object),Russian
stove,Russian
dustpan,Russian
star,Russian
raisin,Russian
kiwi,Russian
beet,Russian
clothes,Russian
computer,Russian
basket,Russian
sink,Russian
camera,Russian
balcony,Russian
bush,Russian
puzzle,Russian
corn,Russian
palm,Russian
voice recorder,Russian
mop (object),Russian
furniture,Russian
icicle,Russian
firetruck,Russian
fruit,Russian
shoulder,Russian
coin,Russian
radio,Russian
oven,Russian
bicycle,Kiswahili
airplane,Kiswahili
doll,Kiswahili
chicken (food),Kiswahili
hair,Kiswahili
toothbrush,Kiswahili
broom,Kiswahili
rain,Kiswahili
balloon,Kiswahili
gum,Kiswahili
head,Kiswahili
penis,Kiswahili
bowl,Kiswahili
picture,Kiswahili
trash,Kiswahili
chair,Kiswahili
stick,Kiswahili
dress (object),Kiswahili
sock,Kiswahili
glass,Kiswahili
bed,Kiswahili
bag,Kiswahili
bucket,Kiswahili
stone,Kiswahili
flower,Kiswahili
peanut,Kiswahili
samosa,Kiswahili
soup,Kiswahili
ear,Kiswahili
key,Kiswahili
road,Kiswahili
shovel,Kiswahili
chicken (animal),Kiswahili
dog,Kiswahili
butter,Kiswahili
boots,Kiswahili
tooth,Kiswahili
brush (object),Kiswahili
pillow,Kiswahili
clock,Kiswahili
kitchen,Kiswahili
toilet,Kiswahili
pipe,Kiswahili
crow,Kiswahili
chalk,Kiswahili
rope,Kiswahili
sand,Kiswahili
sauce,Kiswahili
cassava,Kiswahili
popcorn,Kiswahili
push,Kiswahili
shirt,Kiswahili
face,Kiswahili
mat,Kiswahili
towel,Kiswahili
window,Kiswahili
sun,Kiswahili
hole,Kiswahili
mosquito,Kiswahili
snake,Kiswahili
bird,Kiswahili
tractor,Kiswahili
chocolate,Kiswahili
fish (food),Kiswahili
papaya,Kiswahili
shark,Kiswahili
pasta,Kiswahili
diaper,Kiswahili
sheet,Kiswahili
skirt,Kiswahili
sweater,Kiswahili
butt,Kiswahili
back (body part),Kiswahili
nose,Kiswahili
mug,Kiswahili
scissors,Kiswahili
spade,Kiswahili
swing (object),Kiswahili
tree,Kiswahili
sidewalk,Kiswahili
grass,Kiswahili
wind,Kiswahili
cat,Mandarin (Taiwanese)
fish (animal),Mandarin (Taiwanese)
shoe,Mandarin (Taiwanese)
diaper,Mandarin (Taiwanese)
flower,Mandarin (Taiwanese)
bird,Mandarin (Taiwanese)
hand,Mandarin (Taiwanese)
eye,Mandarin (Taiwanese)
foot,Mandarin (Taiwanese)
rice,Mandarin (Taiwanese)
duck,Mandarin (Taiwanese)
ear,Mandarin (Taiwanese)
mouth,Mandarin (Taiwanese)
nose,Mandarin (Taiwanese)
breast,Mandarin (Taiwanese)
noodles,Mandarin (Taiwanese)
pants,Mandarin (Taiwanese)
sock,Mandarin (Taiwanese)
hat,Mandarin (Taiwanese)
telephone,Mandarin (Taiwanese)
teddybear,Mandarin (Taiwanese)
chicken (animal),Mandarin (Taiwanese)
tummy,Mandarin (Taiwanese)
head,Mandarin (Taiwanese)
hair,Mandarin (Taiwanese)
butt,Mandarin (Taiwanese)
airplane,Mandarin (Taiwanese)
cookie,Mandarin (Taiwanese)
banana,Mandarin (Taiwanese)
egg,Mandarin (Taiwanese)
bread,Mandarin (Taiwanese)
apple,Mandarin (Taiwanese)
pen,Mandarin (Taiwanese)
book,Mandarin (Taiwanese)
medicine,Mandarin (Taiwanese)
chair,Mandarin (Taiwanese)
door,Mandarin (Taiwanese)
rain,Mandarin (Taiwanese)
